Model,CV MAE,CV RMSE,CV MAPE %,CV MAPE sd,CV R2 (log),Train MAE
Ridge,330106.7545784453,880313.0965301186,16.968910839894885,0.5197685159180035,0.8949663005264392,283604.51591883943
Random Forest,312888.67447407614,821195.7935711907,16.24951245860033,0.6944609617555553,0.902157018427396,214877.29594782117
Gradient Boosting,312207.45380410505,797973.726789313,15.932103318241047,0.48296822774426323,0.9102224861174066,138849.36322696303
