address,suburb,postcode,property_type,beds,baths,parking,land_size_m2,sold_price,sold_date,sale_method,source_site,source_url
2/31 Third Avenue,Blacktown,2148,Apartment,1,1,1,,380000,2026-08-13,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=2
28 Eggleton Street,Blacktown,2148,House,3,1,2,866,1263000,2026-08-13,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=2
12 Glamorgan Street,Blacktown,2148,House,3,1,1,556,1030000,2026-08-11,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=2
307/11-13 Clifton Street,Blacktown,2148,Apartment,2,2,1,,575000,2026-08-11,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=2
15/25 Kildare Road,Blacktown,2148,Apartment,2,1,1,99,460000,2026-08-11,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=3
41 Burrell Parade,Blacktown,2148,House,3,1,2,556,960000,2026-08-11,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=3
57 Walters Road,Blacktown,2148,House,3,1,1,835,1221000,2026-08-08,Auction,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=3
59 Walters Road,Blacktown,2148,House,3,1,1,562,900000,2026-08-08,Auction,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=3
29/17-19 Third Avenue,Blacktown,2148,Apartment,2,1,1,,455000,2026-08-07,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=3
19/26 Mantaka Street,Blacktown,2148,Apartment,2,1,1,,,2026-08-07,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=3
4/313 Flushcombe Road,Blacktown,2148,Townhouse,3,2,2,236,920000,2026-08-05,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=3
12 Siebel Street,Blacktown,2148,House,5,2,1,560,1080000,2026-08-05,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=3
12/15 Devitt Street,Blacktown,2148,Apartment,2,1,1,,465000,2026-08-03,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=3
Address withheld A,Blacktown,2148,Apartment,1,1,1,,,2026-08-03,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=3
Address withheld B,Blacktown,2148,Apartment,1,1,1,,,2026-08-03,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=3
59 Lancaster Street,Blacktown,2148,House,3,2,3,600,900000,2026-07-31,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=3
19 Leonard Street,Blacktown,2148,House,3,2,3,543,927000,2026-07-30,Sold prior to auction,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=3
53-53A Pelleas Street,Blacktown,2148,House,7,4,2,584,1700000,2026-07-29,Auction,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=3
301/10 Carinya Street,Blacktown,2148,Apartment,2,2,1,103,590000,2026-07-28,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=3
9 Nicholas Street,Blacktown,2148,House,5,2,1,550,1200000,2026-07-28,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=3
3 Bridge View Street,Blacktown,2148,House,5,2,2,803,1200000,2026-07-27,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=3
25 Virginia Street,Blacktown,2148,House,4,1,3,,1120000,2026-07-26,Auction,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=3
11-11a Virginia Street,Blacktown,2148,House,4,2,2,588,1075000,2026-07-25,Auction,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=3
25 Dagmar Crescent,Blacktown,2148,House,4,2,1,600,992500,2026-07-25,Auction,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=3
4/44-50 Thomas Street,Parramatta,2150,Townhouse,2,1,1,128,720000,2026-09-16,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/
2315/45 Macquarie Street,Parramatta,2150,Apartment,2,2,1,,640000,2026-09-16,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/
1/3 Stewart Street,Parramatta,2150,Apartment,2,1,1,,570000,2026-09-16,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/
641/180 George Street,Parramatta,2150,Apartment,2,1,0,,600000,2026-09-16,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/
1001/83 Church Street,Parramatta,2150,Apartment,2,2,1,,,2026-09-16,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/
1001/83 Church Street,Parramatta,2150,Apartment,2,2,1,,,2026-09-16,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/
610/36-46 Cowper Street,Parramatta,2150,Apartment,2,2,1,,575000,2026-09-14,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/
2/16 Betts Street,Parramatta,2150,Apartment,2,1,1,,660000,2026-09-12,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/
1404/1-3 Valentine Avenue,Parramatta,2150,Apartment,1,1,0,,320000,2026-09-11,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/
820K/2 Morton Street,Parramatta,2150,Apartment,2,2,1,,650000,2026-09-11,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/
