address,suburb,postcode,property_type,beds,baths,parking,land_size_m2,sold_price,sold_date,sale_method,source_site,source_url,total_rooms,bath_per_bed,has_land_data,log_land_size,land_per_bed,has_parking,months_since_start,is_auction
36 Lang Street,Mosman,2088,House,3,2,1,260.0,2865000.0,2026-07-02,Sold prior to auction,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=4,5,0.6666666666666666,1,5.564520407322694,86.66666666666667,1,1.22,1
21 Morella Road,Mosman,2088,House,4,4,2,,11650000.0,2026-07-01,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=4,8,1.0,0,0.0,0.0,1,1.18,0
31/2B Brady Street,Mosman,2088,Apartment,3,2,2,,1925000.0,2026-06-29,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=4,5,0.6666666666666666,0,0.0,0.0,1,1.12,0
9/6 Avenue Road,Mosman,2088,Apartment,0,1,1,,610000.0,2026-06-26,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=4,1,1.0,0,0.0,0.0,1,1.02,0
2/60A Raglan Street,Mosman,2088,Apartment,2,1,1,,1175000.0,2026-06-26,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=4,3,0.5,0,0.0,0.0,1,1.02,0
2/81A Glover Street,Mosman,2088,Apartment,2,2,1,,1440000.0,2026-06-25,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=4,4,1.0,0,0.0,0.0,1,0.99,0
3/13 Wyong Road,Mosman,2088,Apartment,2,2,1,,1750000.0,2026-06-22,Sold prior to auction,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=5,4,1.0,0,0.0,0.0,1,0.89,1
17 Avenue Road,Mosman,2088,House,5,3,2,,5450000.0,2026-06-19,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=5,8,0.6,0,0.0,0.0,1,0.79,0
5 Central Avenue,Mosman,2088,House,5,4,2,607.0,6399000.0,2026-06-19,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=5,9,0.8,1,6.410174881966167,121.4,1,0.79,0
8/4 Esther Road,Mosman,2088,Apartment,2,1,1,,1560000.0,2026-06-19,Auction,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=5,3,0.5,0,0.0,0.0,1,0.79,1
2/63 Muston Street,Mosman,2088,Apartment,4,3,3,,6000000.0,2026-06-18,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=5,7,0.75,0,0.0,0.0,1,0.76,0
2/184 Raglan Street,Mosman,2088,Apartment,2,1,1,,1237500.0,2026-06-17,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=5,3,0.5,0,0.0,0.0,1,0.72,0
5B/699 Military Road,Mosman,2088,Apartment,2,1,1,,1450000.0,2026-06-17,Sold prior to auction,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=5,3,0.5,0,0.0,0.0,1,0.72,1
15/3 Belmont Road,Mosman,2088,Apartment,2,2,1,,1760000.0,2026-06-12,Sold prior to auction,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=5,4,1.0,0,0.0,0.0,1,0.56,1
16/5 The Esplanade,Mosman,2088,Apartment,1,1,1,,1570000.0,2026-06-06,Auction,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=5,2,1.0,0,0.0,0.0,1,0.36,1
1/10 Lang Street,Mosman,2088,House,4,2,1,,3200000.0,2026-06-06,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=5,6,0.5,0,0.0,0.0,1,0.36,0
14 Almora Street,Mosman,2088,House,3,3,2,,5025000.0,2026-06-06,Auction,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=5,6,1.0,0,0.0,0.0,1,0.36,1
1/30 Hale Road,Mosman,2088,Townhouse,3,2,2,,2180000.0,2026-06-05,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=5,5,0.6666666666666666,0,0.0,0.0,1,0.33,0
2 Morella Road,Mosman,2088,House,5,4,4,594.0,7360000.0,2026-06-05,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=5,9,0.8,1,6.38856140554563,118.8,1,0.33,0
21/96 Ourimbah Road,Mosman,2088,Apartment,2,1,1,,900000.0,2026-06-05,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=5,3,0.5,0,0.0,0.0,1,0.33,0
105 Holt Avenue,Mosman,2088,House,4,3,0,,3550000.0,2026-06-05,Sold prior to auction,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=5,7,0.75,0,0.0,0.0,0,0.33,1
10/116 Belmont Road,Mosman,2088,Townhouse,3,2,2,,2380000.0,2026-06-05,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=6,5,0.6666666666666666,0,0.0,0.0,1,0.33,0
9/238 Raglan Street,Mosman,2088,Apartment,2,1,1,,1590000.0,2026-06-04,Auction,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=6,3,0.5,0,0.0,0.0,1,0.3,1
10/1 Hampden Street,Mosman,2088,Apartment,1,1,1,,825000.0,2026-06-04,Sold prior to auction,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=6,2,1.0,0,0.0,0.0,1,0.3,1
13/17-23 Heydon Street,Mosman,2088,Apartment,2,1,1,,1360000.0,2026-06-04,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=6,3,0.5,0,0.0,0.0,1,0.3,0
11 Euryalus Street,Mosman,2088,House,6,4,3,879.0,7260000.0,2026-06-04,Sold prior to auction,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=6,10,0.6666666666666666,1,6.779921907472252,146.5,1,0.3,1
3/1A Oswald Street,Mosman,2088,Apartment,2,1,0,,1140000.0,2026-06-04,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=6,3,0.5,0,0.0,0.0,0,0.3,0
96 Glover Street,Mosman,2088,House,4,3,2,379.0,3390000.0,2026-06-02,Auction,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=6,7,0.75,1,5.940171252720432,94.75,1,0.23,1
17/22 Mosman Street,Mosman,2088,Apartment,1,1,1,,827000.0,2026-06-01,Sold prior to auction,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=6,2,1.0,0,0.0,0.0,1,0.2,1
14 Calypso Avenue,Mosman,2088,House,4,2,2,,4820000.0,2026-05-30,Auction,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=6,6,0.5,0,0.0,0.0,1,0.13,1
6/800 Military Road,Mosman,2088,Townhouse,3,2,2,,2725000.0,2026-05-29,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=6,5,0.6666666666666666,0,0.0,0.0,1,0.1,0
28/9 Mandolong Road,Mosman,2088,Apartment,1,1,0,,800000.0,2026-05-29,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=6,2,1.0,0,0.0,0.0,0,0.1,0
4/2 Ida Avenue,Mosman,2088,Apartment,3,2,2,,4000000.0,2026-05-29,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=6,5,0.6666666666666666,0,0.0,0.0,1,0.1,0
1/31 Musgrave Street,Mosman,2088,Apartment,2,1,1,,2250000.0,2026-05-29,Sold prior to auction,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=6,3,0.5,0,0.0,0.0,1,0.1,1
2/182 Raglan Street,Mosman,2088,Apartment,2,1,1,,1275000.0,2026-05-29,Sold prior to auction,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=6,3,0.5,0,0.0,0.0,1,0.1,1
1 Bradleys Head Road,Mosman,2088,House,5,3,3,894.0,9400000.0,2026-05-28,Sold prior to auction,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=6,8,0.6,1,6.796823718274855,178.8,1,0.07,1
200 Spit Road,Mosman,2088,House,3,1,2,505.0,3350000.0,2026-05-27,Sold prior to auction,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=6,4,0.3333333333333333,1,6.226536669287466,168.33333333333334,1,0.03,1
12/22 Warringah Road,Mosman,2088,Apartment,1,1,1,,1030000.0,2026-05-26,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/mosman-nsw-2088/?page=6,2,1.0,0,0.0,0.0,1,0.0,0
