address,suburb,postcode,property_type,beds,baths,parking,land_size_m2,sold_price,sold_date,sale_method,source_site,source_url,total_rooms,bath_per_bed,has_land_data,log_land_size,land_per_bed,has_parking,months_since_start,is_auction
79/21-29 Third Avenue,Blacktown,2148,Apartment,2,2,1,,435000.0,2026-08-21,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=2,4,1.0,0,0.0,0.0,1,2.86,0
6 Garden Street,Blacktown,2148,House,4,2,6,556.0,1235000.0,2026-08-20,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=2,6,0.5,1,6.322565239927284,139.0,1,2.83,0
41/25 Mantaka Street,Blacktown,2148,Apartment,2,1,1,,435000.0,2026-08-20,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=2,3,0.5,0,0.0,0.0,1,2.83,0
41 Dagmar Crescent,Blacktown,2148,House,3,1,2,569.0,880000.0,2026-08-18,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=2,4,0.3333333333333333,1,6.345636360828596,189.66666666666666,1,2.76,0
94 Lancelot Street,Blacktown,2148,House,3,1,1,562.0,950000.0,2026-08-18,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=2,4,0.3333333333333333,1,6.333279628139691,187.33333333333334,1,2.76,0
69/25 Mantaka Street,Blacktown,2148,Apartment,2,1,1,,419000.0,2026-08-17,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=2,3,0.5,0,0.0,0.0,1,2.73,0
41 Anthony Street,Blacktown,2148,House,3,1,1,,910000.0,2026-08-17,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=2,4,0.3333333333333333,0,0.0,0.0,1,2.73,0
36/130 Main Street,Blacktown,2148,Apartment,2,2,1,,443000.0,2026-08-17,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=2,4,1.0,0,0.0,0.0,1,2.73,0
45 & 45a Dina Beth Avenue,Blacktown,2148,House,5,2,4,,1250000.0,2026-08-14,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=2,7,0.4,0,0.0,0.0,1,2.63,0
2/31 Third Avenue,Blacktown,2148,Apartment,1,1,1,,380000.0,2026-08-13,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=2,2,1.0,0,0.0,0.0,1,2.6,0
